city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Ardeh,South,300,2020,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
Riyadh,Al-Munsiyah,East,253,2016,4,5,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
Riyadh,Al-Nafal,West,500,2020,7,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000
Riyadh,Al-Quds,South,1000,1996,5,5,1,1,1,1,0,1,1,1,1,1,0,1,0,1,160000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Rawdah,West,300,2020,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Al-Rawdah,South,352,1991,7,5,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
Riyadh,Al-Munsiyah,East,225,2020,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000
Riyadh,Al-Sulaymaniyah,North,200,2013,4,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000
Riyadh,Al-Sulaymaniyah,South,220,2013,4,4,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000
Riyadh,Al-Ardeh,South,300,2020,4,5,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000
Riyadh,Ar-Ramal,Northeast,280,2020,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000
Riyadh,Al-Malik Fahd,East,270,1991,3,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000
Riyadh,Al-Aziziyyah,South,312,2017,5,5,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000
Riyadh,Hattan,North,400,2020,4,5,1,1,1,1,1,1,0,1,1,0,0,1,0,0,400000
Riyadh,Al-Wahah,East,375,2010,4,5,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000
Riyadh,Al-Narjis,North,300,2020,5,5,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000
Riyadh,Dhahrah Laban,East,450,2018,7,5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000
Riyadh,Al-Nasim Al-Sharqi,North,200,2014,3,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000
Riyadh,Al-Qadisiyah,North,384,2020,5,5,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000
Riyadh,Al-Qadisiyah,West,250,2020,5,5,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000
Riyadh,Al-Rawdah,North,686,1996,5,5,1,1,1,1,0,1,1,1,1,1,0,1,0,1,150000
Riyadh,Al-Musayyif ,North,425,1988,4,3,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000
Riyadh,Tawiq,Southwest,300,2020,4,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Ardeh,South,360,2020,5,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000
Riyadh,Al-Munsiyah,South,312,2020,3,4,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000
Riyadh,Qurtubah,North,390,2016,7,5,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000
